>Number;Variant;Unicode;StrokeCount;BushuCount;UnicodeCount;JapaneseCount;KangXiCount
+1;1;一;1;0;0;1;0
+2;1;丨;1;0;0;0;0
+3;1;丶;1;0;0;0;0
+4;1;丿;1;0;0;1;0
+5;1;乙;1;0;0;1;0
+5;2;乚;1;0;0;0;0
+6;1;亅;1;0;0;0;0
+7;1;二;2;0;0;1;0
+8;1;亠;2;0;0;1;0
+9;1;人;2;0;0;2;0
+9;2;亻;2;0;0;0;0
+10;1;儿;2;0;0;1;0
+11;1;入;2;0;0;0;0
+12;1;八;2;0;0;1;0
+13;1;冂;2;0;0;0;0
+14;1;冖;2;0;0;0;0
+15;1;冫;2;0;0;1;0
+16;1;几;2;0;0;0;0
+17;1;凵;2;0;0;0;0
+18;1;刀;2;0;0;2;0
+18;2;刂;2;0;0;0;0
+19;1;力;2;0;0;2;0
+20;1;勹;2;0;0;1;0
+21;1;匕;2;0;0;0;0
+22;1;匚;2;0;0;0;0
+23;1;匸;2;0;0;0;0
+24;1;十;2;0;0;1;0
+25;1;卜;2;0;0;0;0
+26;1;卩;2;0;0;1;0
+26;2;⺋;2;0;0;0;0
+27;1;厂;2;0;0;0;0
+28;1;厶;2;0;0;0;0
+29;1;又;2;0;0;1;0
+30;1;口;3;0;0;2;0
+31;1;囗;3;0;0;1;0
+32;1;土;3;0;0;2;0
+33;1;士;3;0;0;1;0
+34;1;夂;3;0;0;0;0
+35;1;夊;3;0;0;0;0
+36;1;夕;3;0;0;0;0
+37;1;大;3;0;0;2;0
+38;1;女;3;0;0;2;0
+39;1;子;3;0;0;2;0
+40;1;宀;3;0;0;2;0
+41;1;寸;3;0;0;1;0
+42;1;小;3;0;0;0;0
+42;2;⺌;3;0;0;0;0
+43;1;尢;3;0;0;0;0
+44;1;尸;3;0;0;1;0
+45;1;屮;3;0;0;0;0
+46;1;山;3;0;0;2;0
+47;1;巛;3;0;0;0;0
+47;2;川;3;0;0;0;0
+48;1;工;3;0;0;0;0
+49;1;己;3;0;0;0;0
+49;2;已;3;0;0;0;0
+49;3;巳;3;0;0;0;0
+50;1;巾;3;0;0;1;0
+51;1;干;3;0;0;0;0
+52;1;幺;3;0;0;0;0
+53;1;广;3;0;0;2;0
+54;1;廴;3;0;0;0;0
+55;1;廾;3;0;0;0;0
+56;1;弋;3;0;0;0;0
+57;1;弓;3;0;0;1;0
+58;1;彐;3;0;0;0;0
+58;2;彑;3;0;0;0;0
+59;1;彡;3;0;0;0;0
+60;1;彳;3;0;0;1;0
+61;1;心;4;0;0;2;0
+61;2;忄;4;0;0;0;0
+62;1;戈;4;0;0;1;0
+63;1;戶;4;0;0;0;0
+63;2;戸;4;0;0;0;0
+64;1;手;4;0;0;2;0
+64;2;扌;4;0;0;0;0
+65;1;支;4;0;0;0;0
+66;1;攴;4;0;0;1;0
+66;2;攵;4;0;0;0;0
+67;1;文;4;0;0;0;0
+68;1;斗;4;0;0;0;0
+69;1;斤;4;0;0;0;0
+70;1;方;4;0;0;0;0
+71;1;无;4;0;0;0;0
+71;2;旡;4;0;0;0;0
+72;1;日;4;0;0;2;0
+73;1;曰;4;0;0;1;0
+74;1;月;4;0;0;1;0
+75;1;木;4;0;0;2;0
+76;1;欠;4;0;0;1;0
+77;1;止;4;0;0;1;0
+78;1;歹;4;0;0;1;0
+79;1;殳;4;0;0;0;0
+80;1;毋;4;0;0;0;0
+80;2;毌;4;0;0;0;0
+80;3;母;4;0;0;0;0
+81;1;比;4;0;0;0;0
+82;1;毛;4;0;0;0;0
+83;1;氏;4;0;0;0;0
+84;1;气;4;0;0;0;0
+85;1;水;4;0;0;2;0
+85;2;氵;4;0;0;0;0
+85;3;氺;4;0;0;0;0
+86;1;火;4;0;0;2;0
+86;2;灬;4;0;0;0;0
+87;1;爪;4;0;0;0;0
+87;2;爫;4;0;0;0;0
+88;1;父;4;0;0;0;0
+89;1;爻;4;0;0;0;0
+90;1;爿;4;0;0;0;0
+91;1;片;4;0;0;0;0
+92;1;牙;4;0;0;0;0
+93;1;牛;4;0;0;1;0
+93;2;牜;4;0;0;0;0
+94;1;犬;4;0;0;2;0
+94;2;犭;4;0;0;0;0
+95;1;玄;5;0;0;0;0
+96;1;玉;5;0;0;2;0
+96;2;王;5;0;0;0;0
+97;1;瓜;5;0;0;0;0
+98;1;瓦;5;0;0;0;0
+99;1;甘;5;0;0;0;0
+100;1;生;5;0;0;0;0
+101;1;用;5;0;0;0;0
+102;1;田;5;0;0;1;0
+103;1;疋;5;0;0;0;0
+103;2;⺪;5;0;0;0;0
+104;1;疒;5;0;0;1;0
+105;1;癶;5;0;0;0;0
+106;1;白;5;0;0;1;0
+107;1;皮;5;0;0;0;0
+108;1;皿;5;0;0;1;0
+109;1;目;5;0;0;2;0
+110;1;矛;5;0;0;0;0
+111;1;矢;5;0;0;0;0
+112;1;石;5;0;0;2;0
+113;1;示;5;0;0;1;0
+113;2;礻;5;0;0;0;0
+114;1;禸;5;0;0;0;0
+115;1;禾;5;0;0;2;0
+116;1;穴;5;0;0;1;0
+116;2;⺳;5;0;0;0;0
+117;1;立;5;0;0;0;0
+118;1;竹;6;0;0;2;0
+118;2;⺮;6;0;0;0;0
+119;1;米;6;0;0;1;0
+120;1;糸;6;0;0;2;0
+120;2;糹;6;0;0;0;0
+120;3;纟;6;0;0;0;0
+121;1;缶;6;0;0;0;0
+122;1;网;6;0;0;1;0
+122;2;罒;6;0;0;0;0
+123;1;羊;6;0;0;1;0
+123;2;⺶;6;0;0;0;0
+123;3;⺷;6;0;0;0;0
+124;1;羽;6;0;0;1;0
+125;1;老;6;0;0;0;0
+125;2;耂;6;0;0;0;0
+126;1;而;6;0;0;0;0
+127;1;耒;6;0;0;0;0
+128;1;耳;6;0;0;1;0
+129;1;聿;6;0;0;0;0
+130;1;肉;6;0;0;2;0
+131;1;臣;6;0;0;0;0
+132;1;自;6;0;0;0;0
+133;1;至;6;0;0;0;0
+134;1;臼;6;0;0;1;0
+135;1;舌;6;0;0;0;0
+136;1;舛;6;0;0;0;0
+137;1;舟;6;0;0;1;0
+138;1;艮;6;0;0;0;0
+139;1;色;6;0;0;0;0
+140;1;艸;6;0;0;2;0
+140;2;艹;6;0;0;0;0
+141;1;虍;6;0;0;1;0
+142;1;虫;6;0;0;2;0
+143;1;血;6;0;0;0;0
+144;1;行;6;0;0;0;0
+145;1;衣;6;0;0;2;0
+145;2;衤;6;0;0;0;0
+146;1;西;6;0;0;0;0
+146;2;襾;6;0;0;0;0
+146;3;覀;6;0;0;0;0
+147;1;見;7;0;0;1;0
+147;2;见;7;0;0;0;0
+148;1;角;7;0;0;0;0
+149;1;言;7;0;0;2;0
+149;2;訁;7;0;0;0;0
+149;3;讠;7;0;0;0;0
+150;1;谷;7;0;0;0;0
+151;1;豆;7;0;0;0;0
+152;1;豕;7;0;0;0;0
+153;1;豸;7;0;0;0;0
+154;1;貝;7;0;0;2;0
+154;2;贝;7;0;0;0;0
+155;1;赤;7;0;0;0;0
+156;1;走;7;0;0;1;0
+157;1;足;7;0;0;2;0
+157;2;⻊;7;0;0;0;0
+158;1;身;7;0;0;0;0
+159;1;車;7;0;0;1;0
+159;2;车;7;0;0;0;0
+160;1;辛;7;0;0;1;0
+161;1;辰;7;0;0;0;0
+162;1;辵;7;0;0;2;0
+162;2;辶;7;0;0;0;0
+163;1;邑;7;0;0;1;0
+163;2;阝;7;0;0;0;0
+164;1;酉;7;0;0;1;0
+165;1;釆;7;0;0;0;0
+166;1;里;7;0;0;0;0
+167;1;金;8;0;0;2;0
+167;2;釒;8;0;0;0;0
+167;3;钅;8;0;0;0;0
+168;1;長;8;0;0;0;0
+168;2;镸;8;0;0;0;0
+169;1;門;8;0;0;1;0
+169;2;门;8;0;0;0;0
+170;1;阜;8;0;0;2;0
+170;2;阝;8;0;0;0;0
+171;1;隶;8;0;0;0;0
+172;1;隹;8;0;0;1;0
+173;1;雨;8;0;0;1;0
+174;1;靑;8;0;0;0;0
+174;2;青;8;0;0;0;0
+175;1;非;8;0;0;0;0
+176;1;面;9;0;0;0;0
+177;1;革;9;0;0;1;0
+178;1;韋;9;0;0;0;0
+178;2;韦;9;0;0;0;0
+179;1;韭;9;0;0;0;0
+180;1;音;9;0;0;0;0
+181;1;頁;9;0;0;1;0
+181;2;页;9;0;0;0;0
+182;1;風;9;0;0;0;0
+182;2;风;9;0;0;0;0
+183;1;飛;9;0;0;0;0
+184;1;食;9;0;0;1;0
+184;2;飠;9;0;0;0;0
+184;3;饣;9;0;0;0;0
+185;1;首;9;0;0;0;0
+186;1;香;9;0;0;0;0
+187;1;馬;10;0;0;1;0
+187;2;马;10;0;0;0;0
+188;1;骨;10;0;0;0;0
+189;1;高;10;0;0;0;0
+189;2;髙;10;0;0;0;0
+190;1;髟;10;0;0;0;0
+191;1;鬥;10;0;0;0;0
+192;1;鬯;10;0;0;0;0
+193;1;鬲;10;0;0;0;0
+194;1;鬼;10;0;0;0;0
